"Maebashi, Japan",relation,boundary,36.316208,36.562378,139.0016248,139.230138
"Ichinomiya, Japan",relation,boundary,35.250213,35.369604,136.704576,136.877254
"Hakodate, Japan",relation,boundary,41.585065,42.137512,140.6493728,141.4561592
"Ibaraki, Japan",relation,boundary,35.739138,36.945302,139.687691,141.0308016
"Yao, Japan",relation,boundary,34.583332,34.650776,135.5618608,135.664287
"Kakogawacho-honmachi, Japan",node,place,34.7603,34.7803,134.818555,134.838555
"Tokushima, Japan",relation,boundary,33.955211,34.130363,134.422518,134.7666294
"Hiratsuka, Japan",relation,boundary,35.2298628,35.403806,139.238739,139.3792851
"Yamagata, Japan",relation,boundary,38.143495,38.351994,140.179241,140.530683
"Fukui-shi, Japan",relation,boundary,35.920399,36.2999716,135.5984706,136.467211
"Mito, Japan",relation,boundary,36.300725,36.464438,140.32173,140.586801
"Shimonoseki, Japan",relation,boundary,33.9043586,34.7507108,130.3978627,131.172518
"Takasaki, Japan",relation,boundary,36.198594,36.483472,138.642506,139.129659
"Fuji, Japan",relation,boundary,35.0167422,35.359117,138.557761,138.812039
"Hachinohe, Japan",relation,boundary,40.347361,40.7218137,141.354479,141.8579636
"Neyagawa, Japan",relation,boundary,34.728212,34.791507,135.587006,135.662595
"Kurume, Japan",relation,boundary,33.223947,33.3683778,130.3852054,130.7318683
"Sasebo, Japan",relation,boundary,33.0369392,33.5436486,128.8333698,129.8726781
"Chigasaki, Japan",relation,boundary,35.1237454,35.384922,139.3589717,139.4456075
"Soka, Japan",relation,boundary,35.8052433,35.871571,139.763601,139.840853
"Atsugi, Japan",relation,boundary,35.393317,35.527467,139.228,139.380018
"Minamirinkan, Japan",node,place,35.4863149,35.5063149,139.4255171,139.4455171
"Takarazuka, Japan",relation,boundary,34.772066,34.962384,135.274439,135.413287
"Chofu, Japan",relation,boundary,35.632591,35.688161,139.517033,139.593089
"Matsumoto, Japan",relation,boundary,36.009632,36.379442,137.550178,138.131235
"Kasukabe, Japan",relation,boundary,35.935377,36.043168,139.707852,139.833326
"Kishiwada, Japan",relation,boundary,34.347369,34.5196136,135.2803372,135.463727
"Numazu, Japan",relation,boundary,34.9231333,35.219243,138.6350207,138.924342
"Joetsu, Japan",relation,boundary,36.940891,37.5260318,137.7845494,138.568896
"Odawara, Japan",relation,boundary,35.177906,35.32992,139.058912,139.2940787
"Kure, Japan",relation,boundary,34.0076247,34.333242,132.3957386,132.8806801
"Nagaoka, Japan",relation,boundary,37.176478,37.7270967,138.5285141,139.124284
"Itami, Japan",relation,boundary,34.756784,34.815534,135.369766,135.446222
"Uji, Japan",relation,boundary,34.85792,34.957367,135.759646,135.879924
"Suzuka, Japan",relation,boundary,34.733732,34.988105,136.395192,136.715465
"Kofu, Japan",relation,boundary,35.50187,35.875883,138.523556,138.661252
"Izumi, Japan",relation,boundary,34.347309,34.515401,135.4150086,135.526957
"Hitachi, Japan",relation,boundary,36.4635996,36.714615,140.516685,140.9559653
"Kushiro, Japan",relation,boundary,42.6960486,43.531172,143.702831,144.5530874
"Sakura, Japan",relation,boundary,35.624382,35.766246,140.126249,140.301303
"Kamirenjaku, Japan",node,place,35.6887444,35.7087444,139.5448857,139.5648857
"Anjo, Japan",relation,boundary,34.888117,35.011068,137.010167,137.12654
"Tsukuba, Japan",relation,boundary,35.947322,36.236828,139.995791,140.173153
"Hirosaki, Japan",relation,boundary,40.467553,40.761425,140.154721,140.598703
"Tomakomai, Japan",relation,boundary,42.401845,42.787717,141.33905,141.82997
"Hadano, Japan",relation,boundary,35.345965,35.461231,139.141241,139.291897
"Obihiro, Japan",relation,boundary,42.614835,42.952846,142.686846,143.268298
"Ube, Japan",relation,boundary,33.7661299,34.166989,131.183532,131.4182075
"Hino, Japan",relation,boundary,35.639316,35.691631,139.357321,139.442012
"Takaoka, Japan",relation,boundary,36.656419,36.8786644,136.833453,137.1508477
"Kamakura, Japan",relation,boundary,35.2665593,35.3682217,139.4885482,139.593173
"Saga, Japan",relation,boundary,32.9181209,33.7048579,129.6400147,130.5421271
"Tsu, Japan",relation,boundary,34.447361,34.844503,136.159726,136.7037277
"Sayama, Japan",relation,boundary,35.817707,35.9009486,139.360885,139.478305
"Kawanishi, Japan",relation,boundary,34.800432,34.939395,135.360807,135.468594
"Oyama, Japan",relation,boundary,36.223315,36.388757,139.687462,139.91505
"Ashikaga, Japan",relation,boundary,36.2706,36.445711,139.361032,139.548605
