2021,name
8336599,Tokyo
3574443,Yokohama
2592413,Osaka
2191279,Nagoya
1883027,Sapporo
1528478,Kobe
1459640,Kyoto
1392289,Fukuoka
1306785,Kawasaki
1193350,Saitama
1143841,Hiroshima
1077730,Yono
1063103,Sendai
997536,Kitakyushu
919729,Chiba
782339,Sakai
701561,Shizuoka
680423,Kumamoto
639652,Okayama
605098,Hamamatsu
579399,Hachioji
560743,Honcho
555352,Kagoshima
505272,Niigata
481493,Himeji
470277,Matsudo
468925,Nishinomiya-hama
468565,Kawaguchi
458937,Kanazawa
449865,Utsunomiya
448907,Oita
443322,Matsuyama
442173,Amagasaki
437581,Kurashiki
428992,Yokosuka
410204,Nagasaki
406331,Hirakata
399969,Machida
397714,Gifu-shi
394624,Fujisawa
384459,Toyonaka
383298,Fukuyama
378374,Toyohashi
375339,Minato
367353,Nara-shi
362383,Toyota
360176,Nagano
357309,Iwaki
356612,Asahikawa
354468,Takatsuki
352361,Okazaki
351630,Suita
351000,Wakayama
340560,Koriyama
340221,Kashiwa
339435,Tokorozawa
337931,Kawagoe
335570,Kochi
334223,Takamatsu
325532,Toyama
320069,Akita
317437,Koshigaya
311203,Miyazaki
300795,Naha
298589,Kasugai
298394,Aomori
298164,Otsu
297279,Akashi
295841,Yokkaichi
295172,Morioka
294237,Fukushima
283531,Ichihara
282711,Maebashi
280331,Ichinomiya
275730,Hakodate
273992,Ibaraki
273213,Yao
271634,Kakogawacho-honmachi
267345,Tokushima
259052,Hiratsuka
254538,Yamagata
248707,Fukui-shi
246538,Mito
245786,Shimonoseki
240857,Takasaki
240014,Fuji
239046,Hachinohe
238549,Neyagawa
238197,Kurume
237444,Sasebo
231657,Chigasaki
231445,Soka
229199,Atsugi
224015,Minamirinkan
219789,Takarazuka
219401,Ageoshimo
212977,Chofu
210667,Matsumoto
206915,Kasukabe
205561,Kishiwada
204318,Numazu
204137,Joetsu
203035,Odawara
196624,Kure
195318,Nagaoka
195164,Nishi-Tokyo-shi
193524,Itami
192925,Uji
191477,Suzuka
190000,Kofu
189085,Izumi
186307,Hitachi
183612,Kushiro
182549,Sakura
178739,Kamirenjaku
178402,Anjo
175589,Tsukuba
174972,Hirosaki
